Postal Code,PCCount,Country,Province,Layer
V01 1L0,1,Canada,British Columbia,1
V01 1V0,1,Canada,British Columbia,1
V02 2P0,1,Canada,British Columbia,1
V0A 1J0,1,Canada,British Columbia,1
V0A 1KO,1,Canada,British Columbia,1
V0A 1P0,1,Canada,British Columbia,1
V0a1k0,1,Canada,British Columbia,1
V0a1m0,1,Canada,British Columbia,1
V0B 0A5,1,Canada,British Columbia,1
V0B 1B6,1,Canada,British Columbia,1
V0B 1E0,1,Canada,British Columbia,1
V0B 1E5,1,Canada,British Columbia,1
V0B 1L2,1,Canada,British Columbia,1
V0B 1M3,1,Canada,British Columbia,1
V0B 1M4,1,Canada,British Columbia,1
V0B 2N1,1,Canada,British Columbia,1
V0B 2N2,1,Canada,British Columbia,1
V0B 4N5,1,Canada,British Columbia,1
V0B1G1,1,Canada,British Columbia,1
V0B2G0,1,Canada,British Columbia,1
V0C 0A2,1,Canada,British Columbia,1
V0C 0B4,1,Canada,British Columbia,1
V0C 1V0,1,Canada,British Columbia,1
V0C 1Y0,1,Canada,British Columbia,1
V0C 2J0,1,Canada,British Columbia,1
V0C2W0,1,Canada,British Columbia,1
V0E 1A0,1,Canada,British Columbia,1
V0E 1B6,1,Canada,British Columbia,1
V0E 1B8,1,Canada,British Columbia,1
V0E 1J0,1,Canada,British Columbia,1
V0E 1R0,1,Canada,British Columbia,1
V0E 1T0,1,Canada,British Columbia,1
V0E 1W1,1,Canada,British Columbia,1
V0E 1Z1,1,Canada,British Columbia,1
V0E 2G4,1,Canada,British Columbia,1
V0E 2H0,1,Canada,British Columbia,1
V0E 2KO,1,Canada,British Columbia,1
V0E 2M0,1,Canada,British Columbia,1
V0E 2T3,1,Canada,British Columbia,1
V0E 2V5,1,Canada,British Columbia,1
V0E 2ZO,1,Canada,British Columbia,1
V0E 3E1,1,Canada,British Columbia,1
V0E 3K0,1,Canada,British Columbia,1
V0E 6K7,1,Canada,British Columbia,1
V0E1B2,1,Canada,British Columbia,1
V0E1E0,1,Canada,British Columbia,1
V0E1M0,1,Canada,British Columbia,1
V0E1N1,1,Canada,British Columbia,1
V0E1V0,1,Canada,British Columbia,1
V0E1V3,1,Canada,British Columbia,1
V0e2g0,1,Canada,British Columbia,1
V0E2S1,1,Canada,British Columbia,1
V0E2X2,1,Canada,British Columbia,1
V0E2Z0,1,Canada,British Columbia,1
V0E3A0,1,Canada,British Columbia,1
V0G 1E0,1,Canada,British Columbia,1
V0G 1G0,1,Canada,British Columbia,1
V0G 1H0,1,Canada,British Columbia,1
V0G 1K0,1,Canada,British Columbia,1
V0G 1V0,1,Canada,British Columbia,1
V0G 2a6,1,Canada,British Columbia,1
V0G 2B0,1,Canada,British Columbia,1
V0G 2B2,1,Canada,British Columbia,1
V0G 2G0,1,Canada,British Columbia,1
V0G1Y0,1,Canada,British Columbia,1
v0g2j0,1,Canada,British Columbia,1
V0H 1E2,1,Canada,British Columbia,1
V0H 1KO,1,Canada,British Columbia,1
V0H 1NO,1,Canada,British Columbia,1
V0H 1R4,1,Canada,British Columbia,1
V0H 1X0,1,Canada,British Columbia,1
V0H 1X1,1,Canada,British Columbia,1
V0H 2R0,1,Canada,British Columbia,1
V0H1N1,1,Canada,British Columbia,1
V0H1R0,1,Canada,British Columbia,1
V0H1V3,1,Canada,British Columbia,1
V0H1Z4,1,Canada,British Columbia,1
V0J 1E3,1,Canada,British Columbia,1
V0J 1M0,1,Canada,British Columbia,1
V0J 1N0,1,Canada,British Columbia,1
V0J 1Y5,1,Canada,British Columbia,1
V0J 1Z1,1,Canada,British Columbia,1
V0J 2J1,1,Canada,British Columbia,1
V0J 2N2,1,Canada,British Columbia,1
V0J 2N4,1,Canada,British Columbia,1
V0J 2NO,1,Canada,British Columbia,1
V0J 2X1,1,Canada,British Columbia,1
V0J 2Z0,1,Canada,British Columbia,1
V0J 3A2,1,Canada,British Columbia,1
V0J1E0,1,Canada,British Columbia,1
V0J3A1,1,Canada,British Columbia,1
V0K 1A2,1,Canada,British Columbia,1
V0K 1E0,1,Canada,British Columbia,1
V0K 1H1,1,Canada,British Columbia,1
V0K 1HO,1,Canada,British Columbia,1
V0K 1K2,1,Canada,British Columbia,1
V0K 1M2,1,Canada,British Columbia,1
V0K 1VO,1,Canada,British Columbia,1
V0K 1X1,1,Canada,British Columbia,1
V0K 2K0,1,Canada,British Columbia,1
V0K 2L0,1,Canada,British Columbia,1
V0k1a0,1,Canada,British Columbia,1
V0K2L0,1,Canada,British Columbia,1
V0L 1H0,1,Canada,British Columbia,1
V0L 4K0,1,Canada,British Columbia,1
V0L 4L4,1,Canada,British Columbia,1
V0L 4L9,1,Canada,British Columbia,1
V0M 1A4,1,Canada,British Columbia,1
V0M 1H0,1,Canada,British Columbia,1
V0M 1N0,1,Canada,British Columbia,1
V0M 1W0,1,Canada,British Columbia,1
V0N 0V0,1,Canada,British Columbia,1
V0N 1A2,1,Canada,British Columbia,1
V0N 1B0,1,Canada,British Columbia,1
V0N 1B6,1,Canada,British Columbia,1
V0N 1HO,1,Canada,British Columbia,1
V0N 1K0,1,Canada,British Columbia,1
